,word,TF-IDF
116,君,0.0804016059568399
59,ん,0.0754402516168209
13,いる,0.06756957258751226
57,れる,0.05816181923102633
46,の,0.05501652442705402
101,僕,0.05456232824320918
27,する,0.05356979150673339
7,いく,0.05263653834931588
214,空,0.05209491310198314
22,こと,0.050747423210402855
42,ない,0.04888514775816826
44,なる,0.04763717616032395
236,行く,0.0445695688713699
37,てる,0.04270470554312761
184,歌う,0.04035903131632801
250,誰,0.040131780580225276
40,どこ,0.03958747881394999
55,よう,0.039135579121131026
80,中,0.03660710905397414
169,日,0.03608194377448334
102,僕ら,0.03467208504872374
5,いい,0.03421396690105506
68,バンド,0.028845359217498392
142,彼女,0.028787132234438004
30,そう,0.028413961131274656
149,思う,0.028166876459304883
21,くれる,0.02776854890593485
24,しまう,0.027590666244110027
95,何,0.026544504689267067
133,太陽,0.02648855707831601
282,風,0.026236593694248266
0,is,0.024700885441330457
157,愛す,0.024241160659843844
239,街,0.02371649436940957
2,あげる,0.023617856714041388
246,言う,0.02359496441387724
76,一,0.0231688094119833
217,笑う,0.022888181622098346
258,踊る,0.022736612193572044
232,胸,0.022427561441816214
109,前,0.02227774196281156
108,分かる,0.022032812244366293
87,人,0.021936078521372422
267,遠い,0.021887130676405707
146,心,0.021806986066103973
287,１,0.02098102477756016
168,旅,0.020805882301366315
51,みる,0.020764225511867386
23,さ,0.020343377715020445
156,愛,0.02030423169601058
11,いつか,0.020295060671905653
147,忘れる,0.019976423312691304
166,揺れる,0.019933350377804172
276,音,0.019928769710809792
75,ロックンロール,0.01990638696705104
208,着る,0.0198197287481017
99,俺,0.019801473391827237
104,兄弟,0.01940971378114199
136,家,0.019396895174749896
183,歌,0.01937681797254874
79,世界,0.01937646386752196
111,南,0.019254706001644233
148,思い出す,0.018940048364440455
176,時間,0.01886684139032571
281,顔,0.018765621599320884
100,側,0.018642694984622753
173,星,0.01854237256440102
34,ため,0.01846919160399411
204,目,0.01831634110483409
53,もの,0.018047579233867718
242,見る,0.017744226140454403
105,光,0.01771981386277627
210,知る,0.017710136450924632
56,られる,0.017497289220547184
134,好き,0.017456002437754827
192,泣く,0.017440235999492553
39,とき,0.017438781322270877
165,探す,0.01736505447249426
32,たち,0.01733711948120935
45,なれる,0.017110888508956434
69,パーティー,0.01708504442662962
128,夜,0.017047727371459168
29,せる,0.017003303766436415
196,消える,0.01671610379440832
241,見つける,0.016714028425861564
171,明日,0.016598473697651408
52,みんな,0.016403001381643086
174,昨日,0.016326396017656772
107,出る,0.01621006159653829
92,今日,0.01604210089999232
123,声,0.015760617672231886
265,過ぎる,0.015716433359751376
114,名前,0.015705089516429085
4,ある,0.015561823386256184
58,わけ,0.015425722316755996
20,くる,0.015414173706284447
54,やる,0.015381520725890318
180,本当,0.015175480097187163
60,オレンジ,0.015110409178738151
35,つく,0.015076378770590615
185,歩く,0.01501906875849536
153,情熱,0.014989098153832547
235,花,0.014835644386984558
112,友達,0.014727376938956052
31,それ,0.014574432790676242
186,死ぬ,0.014523170500533028
64,シンガー,0.014463276757343288
125,夏,0.014359232337298048
264,連れる,0.014040746236786646
255,走る,0.013990205997793206
279,頃,0.01395223436237237
50,みたい,0.013774676777449361
71,メロディー,0.013380412722956652
3,あの日,0.013306341280279249
191,波,0.013300948972511002
181,来る,0.01329556069219865
77,一人,0.01326545549165338
182,欲しい,0.013258700567884297
170,日々,0.013184218193662771
286,鳴らす,0.013167489010391045
202,生まれる,0.01315143548585395
233,舞う,0.013138063395237877
38,できる,0.013044416754616886
209,瞳,0.01295813186243182
175,時,0.012904115297209695
