,Unnamed: 0,URL,SongName,Artist,Lyricist,Composer,Lyric
10,10,https://www.uta-net.com/song/129429/,彼女,andymori,小山田壮平,小山田壮平,"彼女が恋の悩みを友達に打ち明けていたらどうしよう,彼女が僕の名前を呼んでくれるなんて夢の話さ,それでも毎晩眠りにつく頃に彼女のことを考えてしまうんだ,彼女の部屋に何とか忍び込んで慌ててクローゼットに隠れたりなんかして,そんな妄想を膨らませているのさ,彼女の書く字はとても綺麗で　歩き方もなんだか綺麗で,ララララララララ....声も素晴らしくて　きっと心も優しい人に違いない,彼女と公園に海に山に川に　知らない国の街角に砂漠のど真ん中に行く,10年後にはお手軽になった宇宙旅行に行く,そんな妄想を膨らませているのさ　青い青い地球を二人で眺めるんだ,彼女が笑う　僕の為に　彼女が飛びこんでくる　僕の胸に,そんな妄想を膨らませているのさ"
11,11,https://www.uta-net.com/song/129436/,君はダイヤモンドの輝き,andymori,小山田壮平,小山田壮平,"君はダイヤモンドの輝き　僕だけが愛した人,この心の中の小さな光が辿り着いた瞳,目が覚める度に君のことを想うんだ,最後に交わした言葉を何度もくり返すんだ,渡り鳥のように旅を続けて　探していた輝き　消えない想い,君はダイヤモンドの輝き　僕だけが愛した人,通り過ぎた景色をメロディーに乗せて　君のことを呼んでいるんだよ,北アルプスの森　パタヤビーチの波,穏やかな朝に　眠れない夜に　君のことを呼んでいるんだよ,ごめんね　ありがとう　ごめんね　ありがとう,君はダイヤモンドの輝き　僕だけが愛した人,あの流れ星を見つけた帰り道　夢の様な日々の歌,君はダイヤモンドの輝き　僕だけが愛した人"
12,12,https://www.uta-net.com/song/155289/,兄弟,andymori,小山田壮平,小山田壮平,"兄弟　兄弟　兄弟　兄弟　兄弟,あの笑いあった日を忘れたのかい,涙の日を忘れたのかい,疑った昨日も憎みあった昨日も,過ぎた夢じゃないか,兄弟　目をみてくれよ,何もない朝に君を見つけたいんだ,何もない僕が君にできること,下らない歌を高らかに唄いたいんだ,何もない僕が君にできること,兄弟,信じあえた昨日も許しあえた昨日も,輝く夢じゃないか,兄弟　目をみているよ,何もない朝に君を思い出すんだ,何もない僕が君に出来ること,あの青い空を飛び交う鳥のように,自由な心で君にできること,兄弟,何もない朝に君を見つけたいんだ,何もない僕が君にできること,下らない歌を高らかに唄いたいんだ,何もない僕が君にできること"
13,13,https://www.uta-net.com/song/129434/,クラブナイト,andymori,小山田壮平,小山田壮平,"冷蔵庫の前で　なんだかつまらなくなって,散歩してみたけど　それでもやっぱり沈んでしまう日は,クラブナイトへおいでよ　ジントニックで踊ろうよ,下心でもいいよ　君の好きなレコードをかけるよ,クラブナイトへおいでよ,赤いライトに照らされた,大人になって　大人の顔をしている,君のありのままの笑顔を見せてよ,それだけでいいよ　今夜はまだ眠れない気分,何週間も漂って　心は疲れ果てて,でも弱音は吐けない　もう少しだけ頑張らなくちゃ,光と闇が君の前に見えたら　光を目指そう,君の好きなレコードをかけるよ,ああ　誰もが風に吹かれて旅は続いていく,求めては愛されてふられて　星を見上げる,輝いた時代のアルバムをめくる手を止めて,クラブナイトへおいでよ,君の好きなレコードをかけるよ,君のプレイリストは　僕の心のど真ん中,もうなんでもいいよ　連れて行ってくれよ,どこまでも行こう　どこまでも行こうよ　ゴキゲンな音楽を聴かせておくれよ,クラブナイトへおいでよ　ジントニックで踊ろうよ,それだけでいいよ　君の好きなレコードをかけるよ"
14,14,https://www.uta-net.com/song/117204/,クレイジークレーマー,andymori,小山田壮平,小山田壮平,"ひまわり畑の調子はどうだい俺のほうだって毎日咲きまくってんだ,わけがわからんわからんわからんわからんこともわからん,ジェットコースター止めてよ　速いのは苦手なんだ許してよ,クレイジークレーマー　そんな目しないで,世界で一番お前が正しいんだよって俺が歌ってやる　みんなの前で,弱虫能なし用なしと皆口を揃えては,簡単に捨ててしまえる真実は使い捨てカイロの末路,病名でもついたら病名でもついたら　いじめられないし　もう少しは楽なのかな,クレイジークレーマー　美しさってなんだろうね,お前だよとまでは言えるわけないけれど　ひまわりを見に行こう,クレイジークレーマー　そんな目しないで,世界で一番お前が正しいんだよって俺が歌ってやる　みんなの前で"
15,15,https://www.uta-net.com/song/117199/,グロリアス軽トラ,andymori,小山田壮平,小山田壮平,"地面には五匹の生き物がいる,一匹は天使一匹は人間一匹は悪魔一匹は豚　そしてカボチャのおばけ,グロリアス軽トラックでいこうぜ　田舎道,スイカを盗みにいこうぜ,グロリアス軽トラックでいこうぜ　田舎道,ケアンズの空の下　ベニスの空の下,湖には魚だっているんだ　色はシルバー　素早く泳いだ,釣りのおっさんのロックTシャツは昔から大好きなアイアンメイデン,グロリアス軽トラックでいこうぜ　田舎道,スイカを盗みにいこうぜ,グロリアス軽トラックでいこうぜ　田舎道,ケアンズの空の下　ベニスの空の下　所沢の空の下,グロリアス軽トラックでいこうぜ　田舎道,スイカを盗みにいこうぜ,グロリアス軽トラックでいこうぜ　田舎道,ケアンズの空の下　ベニスの空の下"
16,16,https://www.uta-net.com/song/148483/,ゴールデンハンマー,andymori,小山田壮平,小山田壮平,"僕の視界に薄い膜がはって　君のことがよく見えなくなる時がある,テレビで追いかけたあの美女の笑顔がちらついたりする,この想いは言葉にならないし　形にも色にも音にもならない,本当のことは恐ろしいもの　そしてなにより美しいもの,僕が君にすべてを捧げたら　君は微笑んでくれるのかい?,愛し方がよく分からないんだ　まだもう少しイカれていたいんだ,特別でいたいだけさ,ゴールデンハンマー　ゴールデンハンマー　僕らが見つけた魔法の武器,ゴールデンハンマー　ゴールデンハンマー　信じていいかい?君のこと,僕と君が目指しているものは　とても似ているけど少し違う,嘘はつけない　でも素直にもなれない　腹に溜まったガスのことは言えない,君が作った砂の城がとてもキレイに見えて嫉妬した,こんなもののせいならばいっそ　壊してしまおうと言った,君は腕を振り上げた,ゴールデンハンマー　ゴールデンハンマー　粉々になった　砂の城,ゴールデンハンマー　ゴールデンハンマー　その向こうに見えた笑顔,こっちを向いてと言ってるんだよ　臆病な僕らのためのハンマー,ゴールデンハンマー　ゴールデンハンマー　君と僕の手が握りしめた,ゴールデンハンマー　ゴールデンハンマー　このドアの向こうに進んで行こう,ゴールデンハンマー　ゴールデンハンマー　僕らが見つけた魔法の武器,ゴールデンハンマー　ゴールデンハンマー　信じていいかい?君のこと"
17,17,https://www.uta-net.com/song/117200/,SAWASDEECLAP YOUR HANDS,andymori,小山田壮平,小山田壮平,"一人あの天井を睨み　少し胸が騒ぎ,風に吹かれ影に追われ　歩くタンパク質よ,SAWASDEECLAP YOUR HANDS,辛いかい　足を引きずっと歩くことは,醜い顔を隠すことは　何も言えないでうつむくことは,SAWASDEECLAP YOUR HANDS,教えてくれ　これから向かう街のこと　治安と言葉と食事と,教えてくれ　こんなにも青い空の下みじめになって歩いて眠るよ,パスポートやカードは昨日盗まれた,整形もしたし肌の色もどんどん変わっていって,SAWASDEECLAP YOUR HANDS SAWASDEECLAP YOUR HANDS,行き先なんか知らん　騙されて乗り込んでいくんだ,SAWASDEECLAP YOUR HANDS,音楽が世界を変えるんだって息巻いたシンガー　ガラガラのフロアーから,SAWASDEECLAP YOUR HANDS騙されてCLAP! CLAP! CLAP!,SAWASDEECLAP YOUR HANDS SAWASDEECLAP YOUR HANDS,いつも通りほとんどやけくそなダンスミュージック,捨てろティービーピーシー　そのアイデンティティー,理由なんか知らん　太陽に捧げ歌うよグルーピーズ,5分前の正解　おおいぬ座VY,見飽きてしまった天才と豚と人間と地震速報,SAWASDEECLAP YOUR HANDS SAWASDEECLAP YOUR HANDS,行き先なんか知らん　騙されて乗り込んでいくんだ,SAWASDEECLAP YOUR HANDS"
18,18,https://www.uta-net.com/song/148484/,サンシャイン,andymori,小山田壮平,小山田壮平,"レコーディングスタジオに　みんなで集まってテレビを見てた,好きなタレントが歌う懐かしの歌　悪口を言いながらはしゃいでた,いつかその時がきたら　この歌を思い出してくれ,同じポイントで笑えた時　うまくやれてる気分になったよ,次の日は雨の日で　昔のことを思い出して,なんだかイライラしてしまっても　そんな時もあるさとうなずいた,いつかその時がきたら　この歌を思い出してくれ,それぞれのゴールそれぞれの迷い　明日に向かって走ったよ,きどることはないだろう　なんとなく過ぎた日を,暗い闇の中で夢見る時は　この歌を思い出してくれ,いつかその時がきたら　この歌を思い出してくれ,夏を切り裂くハイウェイと風　青い海を渡る声,虹色の道　太陽の光,明日に向かって走ったよ"
19,19,https://www.uta-net.com/song/129428/,サンセットクルージング,andymori,小山田壮平,小山田壮平,"手際よくリハを終えるは,ロックンロールバンド,大体前と同じような,薄っぺらいセットリストで,サンセットクルージング,汚い服は着ない,精神に異常をきたした,あのこを話題にして,サンセットクルージング,唯物論者を哀れむ新宿の女は,紅茶にミルクを添えてだして,真理は5万で買えると教えてくれる,サンセットクルージング,初恋の香りに誘われて,死にたくなる夕凪,サンセットクルージング,汚い服は着ない,精神に異常をきたした,あのこを話題にして,サンセットクルージング"
