min_df=1,,min_df=2,,min_df=3,
word,TF-IDF,word,TF-IDF,word,TF-IDF
分,0.009767638,せる,0.013394518,つく,0.015076379
南,0.009757527,分,0.013260639,歩く,0.015019069
走る,0.009730458,側,0.013013993,情熱,0.014989098
たち,0.009662671,それ,0.012993532,花,0.014835644
オレンジ,0.009624955,歩く,0.012914904,友達,0.014727377
ある,0.009596185,花,0.012898806,それ,0.014574433
家,0.009595455,city,0.012746458,死ぬ,0.014523171
東,0.009584294,果て,0.012669359,シンガー,0.014463277
3,0.009485289,くる,0.012597794,夏,0.014359232
なれる,0.009422361,夏,0.012570737,連れる,0.014040746
名前,0.009421393,友達,0.012448401,走る,0.013990206
できる,0.009412962,走る,0.012347091,頃,0.013952234
ハッピーエンド,0.009409963,パーティー,0.012247531,みたい,0.013774677
時,0.00918025,夜,0.012205133,メロディー,0.013380413
それ,0.009134082,時,0.012126114,あの日,0.013306341
気持ち,0.009133097,シンガー,0.012123295,波,0.013300949
鳴らす,0.009109762,1,0.011931841,来る,0.013295561
投げる,0.008989742,昨日,0.011860634,一人,0.013265455
顔,0.008963488,頃,0.011834748,欲しい,0.013258701
もの,0.008944116,連れる,0.011814182,日々,0.013184218
友達,0.008926316,わけ,0.01171265,鳴らす,0.013167489
一,0.008902753,投げる,0.011660849,生まれる,0.013151435
音,0.008875884,死ぬ,0.011596939,舞う,0.013138063
夏,0.008840303,波,0.011502279,できる,0.013044417
メロディー,0.008774219,メロディー,0.011448249,瞳,0.012958132
カウボーイ,0.00875052,度,0.011360602,時,0.012904115
輝き,0.008650678,見える,0.011354794,誰か,0.012677188
city,0.008647284,できる,0.011352328,騒ぐ,0.012595203
心配,0.008601691,あの日,0.011318592,許す,0.01256041
モーニング,0.008571,お前,0.011251825,お前,0.012490752
グッド,0.008571,何度,0.01107865,考える,0.012462575
リズム,0.0085474,かける,0.011031304,飛ぶ,0.012431227
ララララララララ,0.008544797,向こう,0.011012449,汚い,0.012370605
消える,0.008493748,鳴らす,0.010983322,度,0.01235738
聴く,0.008369168,心配,0.010963162,向こう,0.012338034
あの日,0.008329023,気持ち,0.01093091,眺める,0.012288258
やつ,0.008324134,蹴る,0.010897971,the,0.012286493
hands,0.00829108,舞う,0.010836752,見える,0.012284108
your,0.00829108,the,0.010831621,憧れる,0.012233869
sawasdeeclap,0.00829108,誰か,0.010812372,猫,0.012217545
やる,0.008254421,一人,0.010809729,まま,0.012205167
くる,0.008205118,まま,0.01075392,気持ち,0.011978315
まま,0.008179995,欲しい,0.010709979,かける,0.011936411
夜,0.008168063,みたい,0.010685604,海,0.011800905
night,0.00800837,全部,0.010657559,何度,0.01179959
夢,0.007966238,来る,0.010632704,手,0.011783329
宇宙,0.007954859,暮らす,0.010603731,いつ,0.011774313
lights,0.007948474,眺める,0.010479077,すごい,0.011631847
誰か,0.007937273,やつ,0.010403841,呼ぶ,0.01163065
昨日,0.007936118,いつ,0.010390971,寂しい,0.011587901
一人,0.00791321,憧れる,0.010347597,呟く,0.011566292
me,0.007903998,輝き,0.010320876,リズム,0.011434918
波,0.007883817,すごい,0.010310032,綺麗,0.011262318
oh,0.007852468,手,0.010137582,ダンス,0.011200727
何度,0.007844498,生まれる,0.010103315,暮らす,0.011172774
パーティー,0.007810988,聴く,0.010054813,く,0.011129414
猫,0.007741918,騒ぐ,0.010020839,待つ,0.011113495
わからん,0.007729161,リズム,0.010010164,照らす,0.011105523
みたい,0.007727,ダンス,0.009895404,行ける,0.011060651
かける,0.00770922,猫,0.009830313,聴く,0.011037993
着る,0.007695758,飛ぶ,0.00981008,叫ぶ,0.011004829
すごい,0.007640881,夢,0.009784563,夢,0.010978582
眺める,0.007603326,夢見る,0.009741107,色,0.010869193
the,0.007560985,許す,0.009695078,帰る,0.010866591
お前,0.007530616,二人,0.009693828,通り,0.010648151
kiss,0.007492786,音楽,0.009636424,耳,0.010626135
トレイン,0.007458156,ララララララララ,0.009636064,気,0.010496348
連れる,0.007389685,通り,0.009524699,夢見る,0.010479735
組む,0.007358546,あのこ,0.009510003,続く,0.010450807
いつ,0.007327852,下,0.009472233,部屋,0.01044271
こい,0.007323034,色,0.009394799,ライト,0.010360346
飛ぶ,0.007267139,気,0.009394736,ギター,0.010352016
呼ぶ,0.007228661,耳,0.009388239,嘘,0.010328017
シスター,0.007223986,日々,0.009357734,音楽,0.010176458
朝,0.007212841,汚い,0.009327241,穏やか,0.010163493
全部,0.00717436,風と共に,0.009296148,流れる,0.010119971
love,0.007082176,毎日,0.009284987,二人,0.010026924
手,0.007081609,嘘,0.009274205,雨,0.01002326
ダンス,0.007067546,続く,0.009229723,雲,0.010015855
生まれる,0.007050751,肌,0.009216553,ララララララララ,0.00996193
音楽,0.007029521,青い,0.009199984,朝,0.009957825
夢見る,0.007022802,海,0.009193069,立ち止まる,0.009939942
蹴る,0.00700859,帰る,0.009182916,人身事故,0.009934567
来る,0.006957555,ライト,0.009181627,青い,0.00979197
青い,0.006912582,こい,0.009174267,教える,0.009759035
花,0.006901535,呼ぶ,0.009158522,捨てる,0.009738267
欲しい,0.006859122,宇宙,0.009086548,作る,0.009737696
風と共に,0.006847366,部屋,0.008970303,想う,0.009635151
部屋,0.006833606,雨,0.008957913,争い,0.009618984
嘘,0.00679481,朝,0.008880947,信じる,0.009523309
痛む,0.006746004,穏やか,0.008867421,昔,0.009483583
わけ,0.006739863,こっち,0.008864891,青い空,0.009463687
party,0.006731265,ギター,0.008820081,終わる,0.009452144
抱く,0.006727409,青い空,0.008817435,抱く,0.00943501
向こう,0.006719685,争い,0.008795866,触れる,0.009334861
気,0.006719363,考える,0.008775697,今夜,0.009257029
歩く,0.00671206,捨てる,0.008728997,足,0.009201412
ギター,0.006705953,綺麗,0.008675108,目指す,0.009128196
通り,0.006682897,神様,0.008671394,ほしい,0.00910051
シンガー,0.006670725,照らす,0.008635173,聞く,0.009085228
帰る,0.006670037,人身事故,0.008594839,神様,0.009066032
綺麗,0.006609932,瞳,0.008581434,つける,0.008939037
騒ぐ,0.006602289,叫ぶ,0.008528664,体,0.008839286
everything,0.006568297,流れる,0.00851937,息,0.008804329
こっち,0.006519738,待つ,0.008515795,見上げる,0.008767931
続く,0.006512277,行ける,0.008444332,笑顔,0.008711223
3分間,0.006491467,息,0.008388317,微笑む,0.008700943
憧れる,0.006475688,抱く,0.008388231,影,0.008645924
日々,0.006470518,雲,0.008381339,言える,0.008590502
ダイヤモンド,0.006431549,ほしい,0.008338967,肩,0.008570389
ネバーランド,0.006425826,聞く,0.008270369,場所,0.008496123
見える,0.006385746,昔,0.008266873,優しい,0.008493439
死ぬ,0.006380707,教える,0.008256349,後,0.008428118
考える,0.006352504,思い出せる,0.008162519,嫌,0.008420975
肩,0.006331014,立ち止まる,0.008107573,返す,0.00832299
叫ぶ,0.006314118,笑顔,0.008040573,素敵,0.008312181
雨,0.006288082,終わる,0.00797815,乗り込む,0.008265234
biutifulビューティフル,0.006262817,弱い,0.007953477,懐かしい,0.008241497
懐かしい,0.00624722,く,0.007899616,いつまでも,0.00819401
run,0.006214863,呟く,0.007883239,おもちゃ,0.008168094
人身事故,0.006204987,微笑む,0.007874018,輝く,0.008102569
想う,0.006202594,見上げる,0.007857264,言葉,0.008078046
流れる,0.006199444,返す,0.007819207,すべて,0.008076982
毎日,0.00614322,いつまでも,0.007751798,フロアー,0.008056727
聞く,0.00614108,寂しい,0.007733841,どこか,0.00800597
グロリアス,0.006113322,懐かしい,0.007731957,辿る,0.00800228
田舎道,0.006113322,in,0.00770502,諦める,0.00789849
軽トラック,0.006113322,乗り込む,0.007629091,大人,0.007878825
神様,0.006097295,みつめる,0.007602596,美しい,0.007718829
弱い,0.006037143,触れる,0.007576402,降る,0.007600885
ほしい,0.006035162,言える,0.007554547,うつむく,0.007540745
guitar,0.006020938,ここ,0.007536395,いたむ,0.007534794
my,0.006020938,想う,0.007501052,たつ,0.00751915
