,words,vector
0,10,0.008825400045145275
1,1984,0.0058836000300968505
2,3,0.026476200135435828
3,5,0.020592600105338976
4,6,0.0058836000300968505
5,alright,0.0058836000300968505
6,america,0.008825400045145275
7,baby,0.0029418000150484252
8,be,0.0058836000300968505
9,bless,0.008825400045145275
10,blues,0.0029418000150484252
11,cd,0.0029418000150484252
12,city,0.026476200135435828
13,clap,0.008825400045145275
14,cnn,0.0029418000150484252
15,cute,0.0029418000150484252
16,destruction,0.011767200060193701
17,dylala,0.0029418000150484252
18,dylaladyla,0.014709000075242125
19,dylaladylala,0.0058836000300968505
20,dylaladylalalalalala,0.0029418000150484252
21,dylaladylamama,0.014709000075242125
22,dylalalalalala,0.0029418000150484252
23,everything,0.0353016001805811
24,follow,0.0058836000300968505
25,god,0.008825400045145275
26,gonna,0.0029418000150484252
27,guitar,0.03235980016553268
28,hands,0.03235980016553268
29,hey,0.0029418000150484252
30,i,0.023534400120387402
31,in,0.01765080009029055
32,is,0.050010600255823226
33,killmebaby,0.0029418000150484252
34,kiss,0.01765080009029055
35,life,0.01765080009029055
36,lights,0.023534400120387402
37,love,0.02941800015048425
38,lovely,0.008825400045145275
39,mama,0.008825400045145275
40,mass,0.011767200060193701
41,maya,0.0029418000150484252
42,me,0.01765080009029055
43,money,0.05589420028592008
44,my,0.03235980016553268
45,need,0.0029418000150484252
46,night,0.023534400120387402
47,of,0.011767200060193701
48,oh,0.023534400120387402
49,papa,0.023534400120387402
50,party,0.014709000075242125
51,s,0.0029418000150484252
52,said,0.04118520021067795
53,sard,0.0058836000300968505
54,sawasdeeclap,0.03235980016553268
55,so,0.0058836000300968505
56,spot,0.0058836000300968505
57,sunrise,0.04118520021067795
58,sunset,0.04118520021067795
59,sweet,0.008825400045145275
60,teenage,0.0029418000150484252
61,the,0.01765080009029055
62,tv,0.0029418000150484252
63,tシャツ,0.0029418000150484252
64,vy,0.0029418000150484252
65,walking,0.0029418000150484252
66,want,0.0029418000150484252
67,weapons,0.011767200060193701
68,yes,0.0029418000150484252
69,you,0.01765080009029055
70,youmoney,0.0058836000300968505
71,your,0.03235980016553268
72,あいつ,0.0058836000300968505
73,あう,0.008825400045145275
74,あえる,0.0058836000300968505
75,あげる,0.02941800015048425
76,あせる,0.014709000075242125
77,あそぶ,0.0029418000150484252
78,あたり,0.0058836000300968505
79,あて,0.0029418000150484252
80,あと,0.0029418000150484252
81,あどけない,0.0029418000150484252
82,あなた,0.008825400045145275
83,あひる,0.0029418000150484252
84,ある,0.03824340019562952
85,あれ,0.0029418000150484252
86,あれこれ,0.0029418000150484252
87,いい,0.0706032003611622
88,いう,0.014709000075242125
89,いく,0.13238100067717912
90,いける,0.011767200060193701
91,いじめる,0.0029418000150484252
92,いたい,0.0029418000150484252
93,いたむ,0.011767200060193701
94,いっぱい,0.0058836000300968505
95,いつ,0.03824340019562952
96,いつか,0.044127000225726375
97,いつく,0.0029418000150484252
98,いとこ,0.0029418000150484252
99,いぬ,0.0029418000150484252
100,いる,0.29123820148979407
101,いろいろ,0.0029418000150484252
102,うく,0.0029418000150484252
103,うた,0.008825400045145275
104,うたう,0.008825400045145275
105,うたた寝,0.0029418000150484252
106,うつむく,0.008825400045145275
107,うつる,0.0029418000150484252
108,うなずく,0.0029418000150484252
109,うなづく,0.0029418000150484252
110,うなる,0.0029418000150484252
111,うねり,0.0029418000150484252
112,うねる,0.0029418000150484252
113,うまい,0.0058836000300968505
114,おいで,0.014709000075242125
115,おおい,0.0029418000150484252
116,おくれる,0.008825400045145275
117,おっさん,0.0029418000150484252
118,おどける,0.0058836000300968505
119,おばけ,0.0029418000150484252
120,おもちゃ,0.008825400045145275
121,おんなじ,0.0058836000300968505
122,お前,0.01765080009029055
123,お願い,0.0058836000300968505
124,かい,0.0058836000300968505
125,かき消す,0.0029418000150484252
126,かき混ぜる,0.0029418000150484252
127,かく,0.0058836000300968505
128,かくれんぼ,0.0029418000150484252
129,かけ,0.0029418000150484252
130,かける,0.020592600105338976
131,かじりつく,0.0029418000150484252
132,かすむ,0.0029418000150484252
133,かなしい,0.0029418000150484252
134,かぶる,0.008825400045145275
135,かまう,0.0058836000300968505
136,かも,0.0029418000150484252
137,かわいい,0.0029418000150484252
138,がら,0.0029418000150484252
139,きく,0.014709000075242125
140,きたす,0.0058836000300968505
141,きどる,0.0029418000150484252
142,きめる,0.0029418000150484252
143,きよ,0.0029418000150484252
144,きり,0.011767200060193701
145,きれい,0.014709000075242125
146,ぎるもののないまっさらな,0.0029418000150484252
147,く,0.014709000075242125
148,くせ,0.0058836000300968505
149,くたびれる,0.0029418000150484252
150,くだらない,0.0058836000300968505
151,くま,0.0029418000150484252
152,くらげ,0.0029418000150484252
153,くる,0.0353016001805811
154,くれる,0.07354500037621063
155,ぐずつく,0.0029418000150484252
156,ぐばれたなんとかなるさと,0.0029418000150484252
157,こ,0.008825400045145275
158,こい,0.020592600105338976
159,ここ,0.011767200060193701
160,こだわり,0.008825400045145275
161,こっち,0.020592600105338976
162,こと,0.14709000075242126
163,ことし,0.0029418000150484252
164,こぼす,0.0029418000150484252
165,こもる,0.0029418000150484252
166,これ,0.0029418000150484252
167,ころ,0.0029418000150484252
168,さ,0.0706032003611622
169,さくら,0.0058836000300968505
170,ささやきあう,0.0029418000150484252
171,さす,0.0029418000150484252
172,さすらい,0.0029418000150484252
173,さすらう,0.0029418000150484252
174,さっき,0.0058836000300968505
175,さま,0.0058836000300968505
176,さめる,0.008825400045145275
177,さらす,0.0029418000150484252
178,さる,0.0029418000150484252
179,しずく,0.0029418000150484252
180,しまう,0.07648680039125905
181,しれる,0.0058836000300968505
182,じいさん,0.0029418000150484252
183,じゃれる,0.0029418000150484252
184,すがる,0.0029418000150484252
185,すぎ,0.0029418000150484252
186,すぎる,0.008825400045145275
187,すごい,0.01765080009029055
188,すすき,0.0029418000150484252
189,すべて,0.011767200060193701
190,すませる,0.0058836000300968505
191,すむ,0.0058836000300968505
192,する,0.19415880099319605
193,すれ違う,0.0029418000150484252
194,せい,0.011767200060193701
195,せる,0.0353016001805811
196,そう,0.052952400270871655
197,その後,0.0029418000150484252
198,そば,0.0058836000300968505
199,それ,0.023534400120387402
200,それぞれ,0.0058836000300968505
201,たくさん,0.0029418000150484252
202,ただ,0.0029418000150484252
203,たち,0.0353016001805811
204,たつ,0.014709000075242125
205,たま,0.0029418000150484252
206,ため,0.03235980016553268
207,ため息,0.0029418000150484252
208,たわける,0.0029418000150484252
209,だい,0.0029418000150484252
210,だす,0.0058836000300968505
211,だめ,0.008825400045145275
212,ちっぽけ,0.008825400045145275
213,ちゃう,0.0058836000300968505
214,ちらつく,0.0029418000150484252
215,ちる,0.0029418000150484252
216,つく,0.026476200135435828
217,つける,0.014709000075242125
218,つつじ,0.0029418000150484252
219,つなぐ,0.0029418000150484252
220,つまずく,0.0029418000150484252
221,つまらない,0.0029418000150484252
222,てる,0.117672000601937
223,でかい,0.0029418000150484252
224,できる,0.026476200135435828
225,でっかい,0.0029418000150484252
226,でる,0.011767200060193701
227,とき,0.02941800015048425
228,とぐ,0.0029418000150484252
229,ところ,0.0029418000150484252
230,とばす,0.0058836000300968505
231,とりとめる,0.0058836000300968505
232,とる,0.0029418000150484252
233,どこ,0.08531220043640433
234,どっか,0.0029418000150484252
235,どる,0.0029418000150484252
236,ない,0.1412064007223244
237,なに,0.008825400045145275
238,なる,0.12943920066213072
239,なれる,0.03235980016553268
240,なん,0.0029418000150484252
241,ぬける,0.0029418000150484252
242,ぬるい,0.0029418000150484252
243,ねずみ,0.0029418000150484252
244,の,0.14709000075242126
245,はさむ,0.0029418000150484252
246,はし,0.0029418000150484252
247,はしゃぐ,0.0058836000300968505
248,はじける,0.0058836000300968505
249,はじまる,0.0058836000300968505
250,はず,0.0058836000300968505
251,はずむ,0.0029418000150484252
252,はなす,0.0029418000150484252
253,はねる,0.0058836000300968505
254,はる,0.0029418000150484252
255,ばらまく,0.0029418000150484252
256,ばれる,0.0029418000150484252
257,ひこうき雲,0.011767200060193701
258,ひたむき,0.0058836000300968505
259,ひとすじ,0.0029418000150484252
260,ひとつ,0.0058836000300968505
261,ひとつ身,0.0029418000150484252
262,ひまわり,0.0058836000300968505
263,びわ,0.0029418000150484252
264,ふう,0.0029418000150484252
265,ふさぐ,0.0058836000300968505
266,ふざける,0.0029418000150484252
267,ふたり,0.0029418000150484252
268,ふて寝,0.0029418000150484252
269,ふり,0.0058836000300968505
270,ふる,0.008825400045145275
271,ほう,0.0058836000300968505
272,ほしい,0.01765080009029055
273,ほどく,0.0029418000150484252
274,ほんと,0.0058836000300968505
275,ほんとう,0.0058836000300968505
276,ぼんやり,0.008825400045145275
277,まいる,0.0029418000150484252
278,まえる,0.0029418000150484252
279,まぎれる,0.0029418000150484252
280,まくる,0.0058836000300968505
281,またたく,0.0029418000150484252
282,まま,0.026476200135435828
283,まり,0.0029418000150484252
284,まわる,0.0029418000150484252
285,みじめ,0.0029418000150484252
286,みせる,0.0029418000150484252
287,みたい,0.023534400120387402
288,みつば,0.0029418000150484252
289,みつめる,0.008825400045145275
290,みる,0.03824340019562952
291,みんな,0.03235980016553268
292,むく,0.0029418000150484252
293,め,0.0029418000150484252
294,めくる,0.0029418000150484252
295,めくるめく,0.0029418000150484252
296,もえる,0.008825400045145275
297,もどる,0.0029418000150484252
298,もの,0.03824340019562952
299,もらう,0.0058836000300968505
300,もん,0.008825400045145275
301,ゃいでたいつかその,0.0029418000150484252
302,ゃできるさどうしようもないこのからだ,0.0029418000150484252
303,やく,0.0029418000150484252
304,やけくそ,0.0029418000150484252
305,やさしい,0.0029418000150484252
306,やってくる,0.0029418000150484252
307,やつ,0.020592600105338976
308,やむ,0.008825400045145275
309,やめる,0.0029418000150484252
310,やる,0.020592600105338976
311,やれる,0.0058836000300968505
312,ゆく,0.008825400045145275
313,ゆる,0.0029418000150484252
314,よい,0.01765080009029055
315,よう,0.10590480054174331
316,よそ,0.0029418000150484252
317,ら,0.008825400045145275
318,られる,0.04118520021067795
319,りす,0.0029418000150484252
320,れる,0.19710060100824447
321,わかる,0.023534400120387402
322,わけ,0.026476200135435828
323,わける,0.0029418000150484252
324,わめく,0.0058836000300968505
325,わり,0.0058836000300968505
326,ん,0.31183080159513304
327,アイアンメイデングロリアス,0.0029418000150484252
328,アイス,0.0029418000150484252
329,アイデンティティー,0.0029418000150484252
330,アイラビューベイビー,0.0029418000150484252
331,アナウンス,0.0058836000300968505
332,アバディーンアンガス,0.0029418000150484252
333,アパート,0.0058836000300968505
334,アムス,0.0029418000150484252
335,アメリカ,0.0029418000150484252
336,アルコール,0.0029418000150484252
337,アルバム,0.008825400045145275
