,word,TF-IDF
5,いる,0.12106877354904802
27,れる,0.09040285989526649
13,する,0.08540371521204265
3,いく,0.08334607749972063
20,ない,0.08172679584202305
93,行く,0.08064934173903122
21,なる,0.07522569216066037
18,てる,0.06751820837077825
65,歌う,0.06449896741436087
2,いい,0.051901376294385265
51,思う,0.05010795398743466
11,しまう,0.047710591369290616
10,くれる,0.046868907318749986
107,踊る,0.04298775285462853
101,言う,0.0425015838050944
38,分かる,0.03692497186767784
54,愛す,0.03601711536591982
49,忘れる,0.035482816629672696
24,みる,0.034815931906004606
14,せる,0.03447678079585706
83,笑う,0.033385252229158946
60,揺れる,0.03311446363168579
0,あげる,0.032632081118246864
81,知る,0.0315655980850387
114,遠い,0.031052959318623112
50,思い出す,0.030984077790749163
80,着る,0.03015905331936455
97,見る,0.028648733239548578
1,ある,0.027538204878697358
71,消える,0.02742407547203845
59,探す,0.02722906938574522
9,くる,0.0271517192488779
37,出る,0.026544879431554112
113,過ぎる,0.02631509350208265
22,なれる,0.026018580692312686
96,見つける,0.025948084885744887
26,られる,0.025879075044593598
66,歩く,0.025299938035171703
69,泣く,0.025110858890343802
16,つく,0.024750779355551714
36,優しい,0.02453533573784183
25,やる,0.02436047882379591
112,連れる,0.023932928919276526
7,かける,0.023070382383291246
19,できる,0.022996807872416123
39,叫ぶ,0.022765522416328683
75,生まれる,0.022745913947489673
41,呼ぶ,0.02267273046219979
92,舞う,0.02265642522404671
64,欲しい,0.022166263240323246
106,走る,0.021961651662085326
63,来る,0.02191114241052771
103,許す,0.021573796319855232
35,信じる,0.02103819207681232
67,死ぬ,0.020538274651191502
79,眺める,0.020036312614787662
118,飛ぶ,0.019957438619534727
8,く,0.01984661041568425
120,鳴らす,0.01954893562586325
91,聴く,0.019482175131001107
47,待つ,0.01914115529445663
119,騒ぐ,0.01913084745755564
95,見える,0.01908596077331965
45,寂しい,0.01883588167742388
90,聞く,0.018826224437106243
62,暮らす,0.01880625894894956
46,帰る,0.018564813178754993
85,続く,0.01850617587368274
55,憧れる,0.0180403582873783
89,考える,0.017929682596970465
40,呟く,0.017582419813841392
73,照らす,0.017497050600283445
12,すごい,0.017450479790208032
110,返す,0.01732922538389559
56,懐かしい,0.01698679629563381
82,立ち止まる,0.016844002508109013
109,辿る,0.01640865552121319
116,青い,0.016376329351028417
44,夢見る,0.016087838032206578
15,たつ,0.015851134338569238
68,汚い,0.015794209560751445
58,捨てる,0.015765013317863553
100,触れる,0.015481083186841816
23,ほしい,0.015431437935780421
117,響く,0.01536780587265359
53,想う,0.01521630013953009
88,美しい,0.014650130636517494
17,つける,0.014570688929941608
48,微笑む,0.014247485750189566
57,抱く,0.014104843481869304
87,繰り返す,0.014044524332581975
34,作る,0.013912501502337044
84,終わる,0.013831013513884837
32,交わす,0.013364260356533665
77,目指す,0.013288427970564022
102,言える,0.01319022763297208
115,降る,0.013091580424470615
94,行ける,0.013005712380454046
70,流れる,0.012948626748563672
72,潜める,0.01293603337085888
98,見上げる,0.012879242359847153
31,乗る,0.012594998671032396
108,輝く,0.012437834487460796
29,乗せる,0.012119700831391094
30,乗り込む,0.012014239794358695
61,教える,0.011951677657717827
28,わかる,0.011749141992769862
52,悲しい,0.011669982275560117
104,諦める,0.011641806437170119
74,生きる,0.011637029602054372
86,続ける,0.011467610431060564
6,うつむく,0.01140820531147005
4,いける,0.01134512886219024
42,囲む,0.011191535725280515
76,疲れる,0.010948199786903498
111,追いかける,0.010712404674528999
33,伸ばす,0.0106402371556283
43,変わる,0.010538166488329215
99,覚える,0.010431303560721968
105,買う,0.009115535095569982
78,眠る,0.008137590778809664
